Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
David Lee,David Lee,PF,GSW,"2,505",31,9-Jun,240,Versatile Bigs,0.002,F,0.651,B-,0.99,A,0.856,A-,0.958,A,0.721,B,0.877,A-,0.43,C-,0.808,A-,0.803,A-,0.959,A,0.824,Medium,0.341,Medium,2013-14,Big
Taj Gibson,Taj Gibson,PF,CHI,"2,505",29,9-Jun,225,Versatile Bigs,0.243,D-,0.528,C,0.333,D,0.869,A-,0.838,A-,0.316,D,0.48,C,0.265,D,0.844,A-,0.884,A-,0.441,C-,0.803,Medium,0.3802,Medium,2013-14,Wing
Isaiah Thomas,Isaiah Thomas,PG,SAC,"2,497",25,9-May,185,Primary Creators,0.846,A-,0.917,A,0.838,A-,0.9,A-,0.547,C+,0.97,A,0.218,D-,0.761,B+,0.528,C,0.373,D+,0.079,F,0.958,High,0.7233,High,2013-14,Guard
Kyrie Irving,Kyrie Irving,PG,CLE,"2,496",22,3-Jun,193,Mega Creators,0.882,A-,0.318,D,0.902,A,0.586,C+,0.304,D,0.807,A-,0.859,A-,0.7,B,0.304,D,0.261,D,0.236,D-,0.966,High,0.6815,High,2013-14,Guard
PJ Tucker,P.J. Tucker,SF,PHO,"2,490",29,6-Jun,224,Glue Guys,0.805,A-,0.395,D+,0.676,B,0.455,C-,0.881,A-,0.48,C,0.445,C-,0.734,B,0.534,C,0.762,B+,0.899,A-,0.583,Medium,0.2482,Low,2013-14,Wing
Victor Oladipo,Victor Oladipo,PG,ORL,"2,487",22,4-Jun,215,Primary Creators,0.66,B-,0.356,D+,0.971,A,0.564,C+,0.395,D+,0.755,B+,0.301,D,0.875,A-,0.746,B+,0.151,F,0.482,C,0.902,High,0.7143,High,2013-14,Guard
Deron Williams,Deron Williams,PG,BRK,"2,487",30,3-Jun,209,Primary Creators,0.828,A-,0.911,A,0.719,B,0.497,C,0.474,C,0.954,A,0.661,B,0.844,A-,0.612,B-,0.052,F,0.172,F,0.869,High,0.5706,High,2013-14,Guard
Randy Foye,Randy Foye,SG,DEN,"2,485",30,4-Jun,213,Secondary Creators,0.932,A,0.158,F,0.809,A-,0.394,D+,0.387,D+,0.939,A,0.709,B,0.345,D+,0.19,F,0.294,D,0.308,D,0.766,Medium,0.4915,Medium,2013-14,Guard
Jonas Valanciunas,Jonas Valanciunas,C,TOR,"2,482",22,11-Jun,231,Versatile Bigs,0.172,F,0.489,C,0.349,D+,0.959,A,0.975,A,0.096,F,0.975,A,0.174,F,0.835,A-,0.747,B+,0.776,B+,0.686,Medium,0.3901,Medium,2013-14,Big
Spencer Hawes,Spencer Hawes,C,PHI,"2,470",26,1-Jul,245,Pick + Pop Bigs,0.938,A,0.407,C-,0.744,B+,0.608,B-,0.946,A,0.909,A,0.832,A-,0.248,D-,0.783,B+,0.59,C+,0.725,B,0.794,Medium,0.1995,Low,2013-14,Big
Dwyane Wade,Dwyane Wade,SG,MIA,"2,468",32,4-Jun,220,Tall Creators,0.409,C-,0.869,A-,0.746,B+,0.967,A,0.707,B,0.953,A,0.96,A,0.827,A-,0.564,C+,0.476,C,0.458,C-,0.866,High,0.6247,High,2013-14,Wing
Paul Pierce,Paul Pierce,SF,BRK,"2,466",36,7-Jun,235,Spot-up Wings,0.888,A-,0.84,A-,0.73,B,0.673,B,0.705,B,0.89,A-,0.686,B,0.65,B-,0.763,B+,0.106,F,0.894,A-,0.786,Medium,0.2798,Medium,2013-14,Wing
Ray Allen,Ray Allen,SG,MIA,"2,463",38,5-Jun,205,Movement Wings,0.873,A-,0.669,B,0.582,C+,0.309,D,0.532,C,0.796,B+,0.78,B+,0.674,B,0.115,F,0.253,D-,0.369,D+,0.582,Medium,0.1797,Low,2013-14,Wing
Khris Middleton,Khris Middleton,SF,MIL,"2,460",22,8-Jun,217,Movement Wings,0.95,A,0.902,A,0.524,C,0.305,D,0.543,C+,0.564,C+,0.825,A-,0.497,C,0.513,C,0.511,C,0.66,B,0.747,Medium,0.2075,Low,2013-14,Wing
JR Smith,J.R. Smith,SF,NYK,"2,421",28,6-Jun,220,Secondary Creators,0.952,A,0.952,A,0.605,B-,0.42,C-,0.437,C-,0.823,A-,0.79,B+,0.413,C-,0.429,C-,0.147,F,0.758,B+,0.82,Medium,0.502,High,2013-14,Wing
Norris Cole,Norris Cole,PG,MIA,"2,418",25,2-Jun,175,Secondary Creators,0.658,B-,0.524,C,0.414,C-,0.327,D,0.435,C-,0.642,B-,0.135,F,0.812,A-,0.331,D,0.199,F,0.149,F,0.618,Medium,0.4721,Medium,2013-14,Guard
Michael Carter-Williams,Michael Carter-Williams,PG,PHI,"2,414",22,6-Jun,185,Primary Creators,0.556,C+,0.462,C,0.703,B,0.645,B-,0.366,D+,0.965,A,0.765,B+,0.834,A-,0.684,B,0.493,C,0.853,A-,0.942,High,0.6284,High,2013-14,Guard
Jamal Crawford,Jamal Crawford,SG,LAC,"2,407",34,5-Jun,200,Mega Creators,0.917,A,0.892,A-,0.988,A,0.481,C,0.462,C,0.666,B,0.364,D+,0.657,B-,0.335,D,0.331,D,0.137,F,0.872,High,0.5684,High,2013-14,Wing
Amir Johnson,Amir Johnson,PF,TOR,"2,405",27,9-Jun,210,Roll + Cut Bigs,0.467,C,0.805,A-,0.898,A-,0.969,A,0.979,A,0.456,C-,0.952,A,0.417,C-,0.837,A-,0.743,B+,0.393,D+,0.644,Medium,0.1517,Low,2013-14,Big
Brandon Knight,Brandon Knight,PG,MIL,"2,400",22,3-Jun,189,Primary Creators,0.703,B,0.909,A,0.869,A-,0.582,C+,0.299,D,0.733,B,0.216,D-,0.48,C,0.449,C-,0.342,D+,0.412,C-,0.955,High,0.6108,High,2013-14,Guard
Marco Belinelli,Marco Belinelli,SF,SAS,"2,372",28,5-Jun,210,Movement Wings,0.983,A,0.971,A,0.584,C+,0.66,B-,0.451,C-,0.754,B+,0.617,B-,0.364,D+,0.392,D+,0.095,F,0.248,D-,0.649,Medium,0.2,Low,2013-14,Wing
Harrison Barnes,Harrison Barnes,SF,GSW,"2,360",22,8-Jun,210,Glue Guys,0.676,B,0.391,D+,0.74,B,0.39,D+,0.778,B+,0.5,C,0.584,C+,0.37,D+,0.503,C,0.487,C,0.607,B-,0.58,Medium,0.4497,Medium,2013-14,Wing
Anthony Davis,Anthony Davis,PF,NOP,"2,358",21,10-Jun,220,Roll + Cut Bigs,0.29,D,0.717,B,0.969,A,0.983,A,0.994,A,0.587,C+,0.942,A,0.632,B-,0.872,A-,0.828,A-,0.905,A,0.865,High,0.2879,Medium,2013-14,Big
Martell Webster,Martell Webster,SF,WAS,"2,352",27,7-Jun,230,Spot-up Wings,0.929,A,0.956,A,0.638,B-,0.301,D,0.476,C,0.241,D-,0.846,A-,0.329,D,0.475,C,0.385,D+,0.507,C,0.521,Low,0.1775,Low,2013-14,Wing
