Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
Isaiah Hicks,Isaiah Hicks,PF,NYK,240,23,9-Jun,242,,0.241,D-,0.181,F,0.133,F,0.369,D+,0.699,B,0.385,D+,0.842,A-,0.301,D,0.601,B-,0.43,C-,0.132,F,0.317,Low,0.1842,Low,2017-18,Big
Ante Zizic,Ante Zizic,C,CLE,237,21,11-Jun,250,Versatile Bigs,0.002,F,0.645,B-,0.077,F,0.855,A-,0.896,A-,0.142,F,0.925,A,0.172,F,0.813,A-,0.874,A-,0.377,D+,0.229,Low,0.25,Medium,2017-18,Big
Briante Weber,Briante Weber,PG,TOT,237,25,2-Jun,165,Secondary Creators,0.297,D,0.131,F,0.208,D-,0.195,F,0.151,F,0.29,D,0.284,D,0.772,B+,0.111,F,0.547,C+,0.419,C-,0.228,Low,0.65,High,2017-18,Guard
Aaron Harrison,Aaron Harrison,SG,DAL,233,23,6-Jun,210,,0.379,D+,0.322,D,0.18,F,0.188,F,0.108,F,0.086,F,0.353,D+,0.659,B-,0.114,F,0.499,C,0.288,D,0.374,Low,0.2381,Low,2017-18,Guard
Travis Wear,Travis Wear,SF,LAL,228,27,10-Jun,225,Spot-up Wings,0.549,C+,0.442,C-,0.236,D-,0.023,F,0.347,D+,0.053,F,0.297,D,0.32,D,0.675,B,0.058,F,0.772,B+,0.255,Low,0.1167,Low,2017-18,Wing
Marcus Georges-Hunt,Marcus Georges-Hunt,SG,MIN,227,23,5-Jun,226,Secondary Creators,0.291,D,0.081,F,0.463,C,0.294,D,0.133,F,0.098,F,0.382,D+,0.542,C+,0.304,D,0.646,B-,0.176,F,0.073,Low,0.359,Medium,2017-18,Wing
Alec Peters,Alec Peters,PF,PHX,225,22,9-Jun,235,Tall Spot-up Wings,0.493,C,0.703,B,0.091,F,0.172,F,0.378,D+,0.207,D-,0.656,B-,0.31,D,0.717,B,0.518,C,0.692,B,0.24,Low,0.0156,Low,2017-18,Big
Gary Payton II,Gary Payton,PG,TOT,221,25,3-Jun,190,Tall Spot-up Wings,0.34,D,0.276,D,0.295,D,0.41,C-,0.305,D,0.668,B,0.444,C-,0.626,B-,0.683,B,0.722,B,0.295,D,0.264,Low,0.3231,Medium,2017-18,Guard
Andrew Bogut,Andrew Bogut,C,LAL,216,33,7-0,260,Glue Guys,0.002,F,0.266,D,0.068,F,0.919,A,0.633,B-,0.181,F,0.542,C+,0.211,D-,0.736,B,0.883,A-,0.837,A-,0.114,Low,0.1071,Low,2017-18,Big
Josh Magette,Josh Magette,PG,ATL,216,28,1-Jun,160,Primary Creators,0.382,D+,0.133,F,0.259,D-,0.015,F,0.125,F,0.956,A,0,F,0.555,C+,0.12,F,0.202,D-,0.213,D-,0.353,Low,0.6471,High,2017-18,Guard
Rashad Vaughn,Rashad Vaughn,SG,TOT,212,21,6-Jun,202,Spot-up Wings,0.565,C+,0.162,F,0.228,D-,0.11,F,0.127,F,0.317,D,0.328,D,0.319,D,0.511,C,0.425,C-,0.093,F,0.134,Low,0.1224,Low,2017-18,Wing
Kawhi Leonard,Kawhi Leonard,SF,SAS,210,26,7-Jun,230,Primary Creators,0.42,C-,0.139,F,0.664,B,0.903,A,0.284,D,0.546,C+,0.861,A-,0.77,B+,0.768,B+,0.353,D+,0.647,B-,0.673,Medium,0.6466,High,2017-18,Wing
Brandon Jennings,Brandon Jennings,PG,MIL,210,28,1-Jun,170,,0.377,D+,0.095,F,0.313,D,0.186,F,0.083,F,0.91,A,0,F,0.533,C,0.135,F,0.377,D+,0.23,D-,0.524,Low,0.5946,High,2017-18,Guard
Andrew White III,Andrew White,SF,ATL,209,24,7-Jun,210,,0.711,B,0.328,D,0.083,F,0.068,F,0.164,F,0.146,F,0,F,0.375,D+,0.145,F,0.137,F,0.494,C,0.269,Low,0.0938,Low,2017-18,Guard
Caleb Swanigan,Caleb Swanigan,PF,POR,197,20,8-Jun,250,Versatile Bigs,0.22,D-,0.579,C+,0.108,F,0.304,D,0.521,C,0.511,C,0.517,C,0.357,D+,0.452,C-,0.638,B-,0.673,B,0.282,Low,0.24,Low,2017-18,Big
Quincy Pondexter,Quincy Pondexter,SF,CHI,196,29,7-Jun,225,Tall Spot-up Wings,0.3,D,0.288,D,0.176,F,0.222,D-,0.178,F,0.13,F,0.425,C-,0.729,B,0.346,D+,0.503,C,0.286,D,0.174,Low,0.1818,Low,2017-18,Wing
Aaron Brooks,Aaron Brooks,PG,MIN,192,33,6-0,161,Primary Creators,0.478,C,0.151,F,0.431,C-,0.242,D-,0.071,F,0.456,C-,0,F,0.545,C+,0.164,F,0.488,C,0.306,D,0.286,Low,0.7467,High,2017-18,Guard
Omer Asik,Omer Asik,SF,TOT,190,31,7-0,255,Roll + Cut Bigs,0.002,F,0.199,F,0.044,F,0.087,F,0.627,B-,0.045,F,0,F,0.051,F,0.265,D,0.505,C,0.638,B-,0.103,Low,0.0645,Low,2017-18,Big
Jalen Jones,Jalen Jones,SF,TOT,181,24,7-Jun,220,Spot-up Wings,0.465,C,0.135,F,0.45,C-,0.375,D+,0.232,D-,0.066,F,0.539,C,0.561,C+,0.29,D,0.757,B+,0.594,C+,0.344,Low,0.1739,Low,2017-18,Wing
Isaiah Whitehead,Isaiah Whitehead,PG,BKN,180,22,4-Jun,213,Primary Creators,0.353,D+,0.158,F,0.701,B,0.598,C+,0.1,F,0.738,B,0.378,D+,0.656,B-,0.604,B-,0.262,D,0.443,C-,0.491,Low,0.732,High,2017-18,Guard
Johnathan Motley,Johnathan Motley,PF,DAL,176,22,10-Jun,230,Versatile Bigs,0.194,F,0.154,F,0.293,D,0.708,B,0.664,B,0.134,F,0.969,A,0.231,D-,0.812,A-,0.75,B+,0.438,C-,0.503,Low,0.2963,Medium,2017-18,Big
Julyan Stone,Julyan Stone,SG,CHA,175,29,6-Jun,200,Spot-up Wings,0.354,D+,0.141,F,0.085,F,0,F,0.098,F,0.737,B,0,F,0.518,C,0.305,D,0.045,F,0.625,B-,0.06,Low,0.25,Medium,2017-18,Guard
John Holland,John Holland,SF,CLE,174,29,5-Jun,205,Spot-up Wings,0.416,C-,0.301,D,0.145,F,0.164,F,0.234,D-,0.098,F,0.334,D,0.602,B-,0.592,C+,0.551,C+,0.1,F,0.199,Low,0.283,Medium,2017-18,Wing
Lorenzo Brown,Lorenzo Brown,PG,TOR,168,27,5-Jun,189,Secondary Creators,0.257,D-,0.089,F,0.282,D,0.122,F,0.102,F,0.125,F,0,F,0.662,B,0.275,D,0.113,F,0.414,C-,0.179,Low,0.4359,Medium,2017-18,Guard
Jake Layman,Jake Layman,SF,POR,168,23,9-Jun,210,Spot-up Wings,0.302,D,0.122,F,0.181,F,0.335,D,0.139,F,0.26,D,0.288,D,0.529,C,0.107,F,0.301,D,0.265,D,0.126,Low,0.1556,Low,2017-18,Wing
Dakari Johnson,Dakari Johnson,C,OKC,164,22,7-0,255,Versatile Bigs,0.002,F,0.147,F,0.058,F,0.358,D+,0.583,C+,0.16,F,0.902,A,0.55,C+,0.14,F,0.738,B,0.148,F,0.099,Low,0.225,Low,2017-18,Big
Richard Jefferson,Richard Jefferson,SF,DEN,163,37,7-Jun,233,Glue Guys,0.246,D-,0.156,F,0.34,D,0.089,F,0.517,C,0.229,D-,0.415,C-,0.349,D+,0.31,D,0.089,F,0.34,D,0.083,Low,0.2333,Low,2017-18,Wing
Mirza Teletovic,Mirza Teletovic,PF,MIL,159,32,9-Jun,242,Spot-up Wings,0.748,B+,0.087,F,0.1,F,0.044,F,0.359,D+,0.172,F,0.432,C-,0.312,D,0.266,D,0.232,D-,0.156,F,0.394,Low,0.0385,Low,2017-18,Big
Derrick White,Derrick White,PG,SAS,157,23,4-Jun,190,Secondary Creators,0.381,D+,0.336,D,0.315,D,0.149,F,0.143,F,0.142,F,0.299,D,0.597,C+,0.749,B+,0.432,C-,0.31,D,0.2,Low,0.4286,Medium,2017-18,Guard
Damien Wilkins,Damien Wilkins,SF,IND,152,38,6-Jun,217,Spot-up Wings,0.295,D,0.153,F,0.243,D-,0.168,F,0.205,D-,0.193,F,0.757,B+,0.302,D,0.138,F,0.536,C,0.245,D-,0.122,Low,0.3243,Medium,2017-18,Wing
Derrick Walton Jr.,Derrick Walton,PG,MIA,147,22,1-Jun,185,Secondary Creators,0.403,C-,0.143,F,0.23,D-,0,F,0,F,0.307,D,0,F,0.616,B-,0.119,F,0.143,F,0.16,F,0.113,Low,0.3478,Medium,2017-18,Guard
Darrell Arthur,Darrell Arthur,PF,DEN,141,29,9-Jun,235,Pick + Pop Bigs,0.373,D+,0.359,D+,0.093,F,0.166,F,0.687,B,0.267,D,0,F,0.61,B-,0.185,F,0.091,F,0.076,F,0.261,Low,0.0588,Low,2017-18,Big
Kay Felder,Kay Felder,PG,TOT,140,22,9-May,176,Primary Creators,0.306,D,0.093,F,0.332,D,0.141,F,0,F,0.577,C+,0,F,0.531,C,0.182,F,0.135,F,0.404,C-,0.458,Low,0.7067,High,2017-18,Guard
Jon Leuer,Jon Leuer,PF,DET,136,28,10-Jun,228,Pick + Pop Bigs,0.125,F,0.346,D+,0.139,F,0.416,C-,0.616,B-,0.066,F,0.479,C,0.14,F,0.827,A-,0.542,C+,0.139,F,0.327,Low,0.1714,Low,2017-18,Wing
Zhou Qi,Zhou Qi,C,HOU,130,22,1-Jul,210,Tall Spot-up Wings,0.276,D,0.098,F,0.162,F,0.13,F,0.398,D+,0.057,F,0.369,D+,0.286,D,0.777,B+,0.365,D+,0.102,F,0.131,Low,0.0513,Low,2017-18,Big
Malcolm Miller,Malcolm Miller,SF,TOR,126,24,7-Jun,210,Spot-up Wings,0.405,C-,0.347,D+,0.102,F,0.106,F,0.154,F,0.055,F,0,F,0.327,D,0.074,F,0.302,D,0.332,D,0.097,Low,0.0357,Low,2017-18,Wing
Milton Doyle,Milton Doyle,SG,BKN,125,24,4-Jun,180,Secondary Creators,0.312,D,0.075,F,0.32,D,0.211,D-,0.093,F,0.153,F,0.355,D+,0.663,B,0.427,C-,0.171,F,0.371,D+,0.334,Low,0.4762,Medium,2017-18,Guard
Antonius Cleveland,Antonius Cleveland,SG,TOT,123,23,6-Jun,195,Spot-up Wings,0.25,D-,0.268,D,0.135,F,0.097,F,0.158,F,0.05,F,0.324,D,0.782,B+,0.098,F,0.269,D,0.25,D-,0.064,Low,0.12,Low,2017-18,Wing
Nigel Hayes,Nigel Hayes,SF,TOT,122,23,7-Jun,254,,0.293,D,0.145,F,0.237,D-,0.048,F,0.338,D,0.16,F,0.197,F,0.214,D-,0.669,B,0.187,F,0.455,C-,0.225,Low,0.2667,Medium,2017-18,Big
Georgios Papagiannis,Georgios Papagiannis,C,TOT,122,20,1-Jul,240,Versatile Bigs,0.002,F,0.185,F,0,F,0.261,D,0.753,B+,0.141,F,0.506,C,0.357,D+,0.09,F,0.748,B+,0.171,F,0.244,Low,0.2889,Medium,2017-18,Big
James Webb III,James Webb,SF,BKN,120,24,9-Jun,202,,0.304,D,0.077,F,0.143,F,0.054,F,0.388,D+,0.146,F,0,F,0.178,F,0.099,F,0.514,C,0.367,D+,0.361,Low,0,Low,2017-18,Wing
Xavier Rathan-Mayes,Xavier Rathan-Mayes,SG,MEM,118,23,4-Jun,208,,0.244,D-,0.085,F,0.264,D,0.191,F,0.104,F,0.653,B-,0,F,0.796,B+,0.117,F,0.063,F,0.056,F,0.619,Medium,0.7609,High,2017-18,Guard
Jabari Bird,Jabari Bird,SG,BOS,115,23,6-Jun,198,Glue Guys,0.319,D,0.546,C+,0.149,F,0.704,B,0.183,F,0.385,D+,0.469,C,0.589,C+,0.313,D,0.631,B-,0.338,D,0.168,Low,0.1875,Low,2017-18,Wing
Bobby Brown,Bobby Brown,PG,HOU,115,33,2-Jun,175,Mega Creators,0.401,C-,0.091,F,0.249,D-,0.143,F,0.091,F,0.295,D,0,F,0.486,C,0.127,F,0.074,F,0.262,D,0.333,Low,0.7333,High,2017-18,Guard
Bruno Caboclo,Bruno Caboclo,SF,TOT,107,22,9-Jun,205,,0.287,D,0.118,F,0.066,F,0.197,F,0.319,D,0.167,F,0.813,A-,0.374,D+,0.363,D+,0.519,C,0.161,F,0.166,Low,0.2069,Low,2017-18,Wing
Kadeem Allen,Kadeem Allen,PG,BOS,107,25,3-Jun,200,Glue Guys,0.192,F,0.228,D-,0.222,D-,0.217,D-,0.218,D-,0.296,D,0.392,D+,0.62,B-,0.482,C,0.403,C-,0.122,F,0.161,Low,0.36,Medium,2017-18,Guard
Alex Poythress,Alex Poythress,PF,IND,104,24,9-Jun,235,Tall Spot-up Wings,0.321,D,0.112,F,0.095,F,0.19,F,0.49,C,0.058,F,0,F,0.416,C-,0.194,F,0.406,C-,0.124,F,0.05,Low,0,Low,2017-18,Big
Damian Jones,Damian Jones,C,GSW,100,22,7-0,245,,0.002,F,0.415,C-,0.118,F,0.476,C,0.647,B-,0.074,F,0.398,D+,0.138,F,0.656,B-,0.308,D,0.054,F,0.102,Low,0.0741,Low,2017-18,Big
Wade Baldwin IV,Wade Baldwin,PG,POR,99,21,4-Jun,202,,0.28,D,0.114,F,0.469,C,0.292,D,0.166,F,0.481,C,0.237,D-,0.531,C,0.295,D,0.087,F,0.219,D-,0.276,Low,0.4615,Medium,2017-18,Guard
Brice Johnson,Brice Johnson,PF,TOT,98,23,10-Jun,230,,0.104,F,0.1,F,0.141,F,0.849,A-,0.56,C+,0.141,F,0.817,A-,0.691,B,0.713,B,0.633,B-,0.442,C-,0.243,Low,0.2162,Low,2017-18,Wing
Jaylen Morris,Jaylen Morris,SG,ATL,98,22,5-Jun,185,,0.248,D-,0.224,D-,0.193,F,0.199,F,0.106,F,0.261,D,0.363,D+,0.514,C,0.22,D-,0.128,F,0.163,F,0.295,Low,0.25,Medium,2017-18,Wing
Darrun Hilliard,Darrun Hilliard,SG,SAS,95,24,6-Jun,220,Spot-up Wings,0.19,F,0.104,F,0.156,F,0.052,F,0.081,F,0.362,D+,0,F,0.356,D+,0.088,F,0.059,F,0.083,F,0.114,Low,0.3043,Medium,2017-18,Wing
Chris McCullough,Chris McCullough,PF,WAS,90,22,9-Jun,215,Pick + Pop Bigs,0.228,D-,0.311,D,0.247,D-,0.464,C,0.708,B,0.178,F,0.471,C,0.135,F,0.445,C-,0.579,C+,0.395,D+,0.268,Low,0.0263,Low,2017-18,Wing
Jack Cooley,Jack Cooley,PF,SAC,87,26,10-Jun,274,Roll + Cut Bigs,0.002,F,0.299,D,0,F,0.313,D,0.562,C+,0.342,D+,0.851,A-,0.173,F,0.37,D+,0.679,B,0.208,D-,0.329,Low,0.1818,Low,2017-18,Big
Josh Gray,Josh Gray,PG,PHX,86,24,1-Jun,180,,0.278,D,0.071,F,0.245,D-,0.201,D-,0.095,F,0.399,D+,0,F,0.733,B,0.116,F,0.18,F,0.135,F,0.608,Medium,0.7021,High,2017-18,Guard
Furkan Korkmaz,Furkan Korkmaz,SG,PHI,82,20,7-Jun,190,Spot-up Wings,0.334,D,0.108,F,0.089,F,0.159,F,0.087,F,0.158,F,0.407,C-,0.357,D+,0.134,F,0.23,D-,0.236,D-,0.163,Low,0.1154,Low,2017-18,Guard
Okaro White,Okaro White,PF,MIA,80,25,8-Jun,215,Spot-up Wings,0.326,D,0.066,F,0.064,F,0.182,F,0.241,D-,0.027,F,0.519,C,0.223,D-,0.734,B,0.332,D,0.091,F,0.148,Low,0,Low,2017-18,Wing
Demetrius Jackson,Demetrius Jackson,PG,TOT,80,23,1-Jun,201,Movement Wings,0.218,D-,0.069,F,0.199,F,0.232,D-,0.089,F,0.232,D-,0,F,0.69,B,0.412,C-,0.404,C-,0.26,D-,0.193,Low,0.48,Medium,2017-18,Guard
Nick Collison,Nick Collison,PF,OKC,75,37,10-Jun,255,Roll + Cut Bigs,0.002,F,0.195,F,0,F,0.569,C+,0.66,B-,0.151,F,0.699,B,0.159,F,0.091,F,0.345,D+,0.154,F,0.194,Low,0.0455,Low,2017-18,Big
Udonis Haslem,Udonis Haslem,C,MIA,72,37,8-Jun,235,Tall Spot-up Wings,0.201,D-,0.124,F,0.075,F,0,F,0.257,D-,0.189,F,0.753,B+,0.106,F,0.678,B,0.395,D+,0.098,F,0.054,Low,0.125,Low,2017-18,Big
Thomas Bryant,Thomas Bryant,C,LAL,72,20,10-Jun,248,Pick + Pop Bigs,0.243,D-,0.183,F,0.042,F,0.162,F,0.602,B-,0.289,D,0,F,0.122,F,0.101,F,0.224,D-,0.334,D,0.159,Low,0.1111,Low,2017-18,Big
Jordan Crawford,Jordan Crawford,SG,NOP,68,29,5-Jun,195,Mega Creators,0.386,D+,0.18,F,0.257,D-,0.066,F,0,F,0.579,C+,0,F,0.429,C-,0.101,F,0.252,D-,0.039,F,0.502,Low,0.7317,High,2017-18,Big
London Perrantes,London Perrantes,PG,CLE,66,23,2-Jun,190,Spot-up Wings,0.136,F,0.125,F,0.137,F,0.025,F,0,F,0.093,F,0,F,0.524,C,0.093,F,0.111,F,0.141,F,0.059,Low,0.625,High,2017-18,Guard
Gian Clavell,Gian Clavell,SG,DAL,64,24,4-Jun,185,Movement Wings,0.396,D+,0.073,F,0.098,F,0,F,0,F,0.094,F,0,F,0.629,B-,0.461,C,0.102,F,0.2,D-,0.138,Low,0.1,Low,2017-18,Guard
James Young,James Young,SG,PHI,61,22,6-Jun,215,,0.263,D,0.079,F,0.178,F,0.021,F,0,F,0.084,F,0,F,0.15,F,0.492,C,0.071,F,0.037,F,0.106,Low,0,Low,2017-18,Guard
Kyle Singler,Kyle Singler,SF,OKC,59,29,8-Jun,228,Spot-up Wings,0.116,F,0.286,D,0.114,F,0.075,F,0.222,D-,0.167,F,0,F,0.301,D,0.085,F,0.083,F,0.145,F,0.211,Low,0.08,Low,2017-18,Wing
Alfonzo McKinnie,Alfonzo McKinnie,SF,TOR,53,25,8-Jun,215,Spot-up Wings,0.271,D,0.06,F,0.207,D-,0.12,F,0,F,0.08,F,0.436,C-,0.283,D,0.117,F,0.221,D-,0.117,F,0.094,Low,0.1176,Low,2017-18,Wing
Marshall Plumlee,Marshall Plumlee,C,MIL,52,25,7-0,250,,0.002,F,0.062,F,0.116,F,0.037,F,0.326,D,0.063,F,0,F,0.21,D-,0.103,F,0.184,F,0.308,D,0.061,Low,0,Low,2017-18,Wing
Cole Aldrich,Cole Aldrich,C,MIN,49,29,11-Jun,253,Versatile Bigs,0.002,F,0.068,F,0,F,0.06,F,0.346,D+,0.085,F,0.687,B,0.469,C,0.078,F,0.106,F,0.315,D,0.121,Low,0.1875,Low,2017-18,Big
Vander Blue,Vander Blue,SG,LAL,45,25,5-Jun,200,Secondary Creators,0.127,F,0.052,F,0.106,F,0.05,F,0.073,F,0.187,F,0,F,0.423,C-,0.168,F,0.076,F,0.065,F,0.045,Low,0.3333,Medium,2017-18,Big
Adreian Payne,Adreian Payne,PF,ORL,43,26,10-Jun,237,Roll + Cut Bigs,0.254,D-,0.054,F,0.131,F,0.093,F,0.303,D,0.081,F,0.734,B,0.537,C,0.552,C+,0.284,D,0.109,F,0.114,Low,0.1667,Low,2017-18,Wing
Joakim Noah,Joakim Noah,C,NYK,40,32,11-Jun,230,Roll + Cut Bigs,0.002,F,0.083,F,0.205,D-,0.178,F,0.278,D,0.162,F,0.535,C,0.581,C+,0.386,D+,0.558,C+,0.126,F,0.206,Low,0.0833,Low,2017-18,Big
Jeff Withey,Jeff Withey,C,DAL,39,27,7-0,230,Roll + Cut Bigs,0.252,D-,0.048,F,0.056,F,0.228,D-,0.448,C-,0.096,F,0.485,C,0.07,F,0.573,C+,0.147,F,0.121,F,0.176,Low,0.2,Low,2017-18,Big
Charles Cooke,Charles Cooke,SG,NOP,38,23,5-Jun,196,Secondary Creators,0.203,D-,0.058,F,0.104,F,0.017,F,0,F,0.035,F,0,F,0.438,C-,0.163,F,0.072,F,0.082,F,0.118,Low,0.3636,Medium,2017-18,Big
Joel Bolomboy,Joel Bolomboy,PF,MIL,38,24,9-Jun,235,Glue Guys,0.106,F,0.064,F,0,F,0.104,F,0.23,D-,0.093,F,0.413,C-,0.49,C,0.072,F,0.545,C+,0.128,F,0.058,Low,0.1111,Low,2017-18,Wing
Jacob Wiley,Jacob Wiley,PF,BKN,33,23,8-Jun,223,Pick + Pop Bigs,0.224,D-,0.05,F,0.062,F,0,F,0.21,D-,0.054,F,0,F,0.342,D+,0.558,C+,0.191,F,0.228,D-,0.047,Low,0,Low,2017-18,Guard
Matt Costello,Matt Costello,C,SAS,32,24,10-Jun,240,Glue Guys,0.002,F,0.191,F,0.054,F,0.056,F,0.228,D-,0.084,F,0,F,0.603,B-,0.498,C,0.093,F,0.174,F,0.048,Low,0,Low,2017-18,Big
Georges Niang,Georges Niang,PF,UTA,32,24,6-Jun,231,,0.183,F,0.097,F,0.187,F,0.114,F,0,F,0.252,D-,0.73,B,0.563,C+,0.06,F,0.408,C-,0.169,F,0.197,Low,0.2857,Medium,2017-18,Big
Markel Brown,Markel Brown,SG,HOU,31,26,3-Jun,190,,0.2,F,0.046,F,0.122,F,0.002,F,0,F,0.154,F,0,F,0.37,D+,0.382,D+,0.082,F,0.035,F,0.097,Low,0.625,High,2017-18,Wing
Tony Bradley,Tony Bradley,C,UTA,31,20,10-Jun,248,Roll + Cut Bigs,0.11,F,0.042,F,0,F,0.219,D-,0.237,D-,0.075,F,0.55,C+,0.202,D-,0.218,D-,0.479,C,0.13,F,0.147,Low,0.1429,Low,2017-18,Guard
Ike Anigbogu,Ike Anigbogu,C,IND,30,19,10-Jun,262,Glue Guys,0.002,F,0.035,F,0,F,0.139,F,0.174,F,0.13,F,0.745,B+,0.286,D,0.412,C-,0.564,C+,0.03,F,0.144,Low,0.1818,Low,2017-18,Big
Marcus Paige,Marcus Paige,PG,CHA,28,24,6-0,164,Primary Creators,0.222,D-,0.044,F,0.124,F,0.019,F,0,F,0.159,F,0,F,0.193,F,0.077,F,0.069,F,0.119,F,0.289,Low,0.4167,Medium,2017-18,Big
Daniel Hamilton,Daniel Hamilton,SG,OKC,28,22,7-Jun,195,Secondary Creators,0.274,D,0.039,F,0.153,F,0.064,F,0,F,0.7,B,0,F,0.503,C,0.121,F,0.05,F,0.085,F,0.299,Low,0.4545,Medium,2017-18,Guard
Jameel Warney,Jameel Warney,PF,DAL,27,24,8-Jun,260,,0.002,F,0.174,F,0,F,0.389,D+,0.351,D+,0.192,F,0.556,C+,0.184,F,0.065,F,0.341,D+,0.137,F,0.298,Low,0.2667,Medium,2017-18,Wing
Monte Morris,Monte Morris,PG,DEN,25,22,3-Jun,175,Mega Creators,0.112,F,0.037,F,0.263,D,0.095,F,0.075,F,0.398,D+,0,F,0.656,B-,0.218,D-,0.024,F,0.08,F,0.278,Low,0.8333,High,2017-18,Wing
Chinanu Onuaku,Chinanu Onuaku,C,HOU,25,21,10-Jun,245,,0.002,F,0.029,F,0.05,F,0.033,F,0.145,F,0.144,F,0.456,C-,0.449,C-,0.083,F,0.08,F,0.058,F,0.227,Low,0.2,Low,2017-18,Guard
Jeremy Lin,Jeremy Lin,PG,BKN,25,29,3-Jun,200,Primary Creators,0.231,D-,0.041,F,0.147,F,0.103,F,0,F,0.669,B,0,F,0.448,C-,0.124,F,0.065,F,0.015,F,0.692,Medium,0.875,High,2017-18,Wing
Xavier Munford,Xavier Munford,SG,MIL,21,25,4-Jun,173,,0.174,F,0.033,F,0.151,F,0.004,F,0,F,0.332,D,0,F,0.6,B-,0.232,D-,0.13,F,0.028,F,0.21,Low,0.25,Medium,2017-18,Guard
Mangok Mathiang,Mangok Mathiang,C,CHA,20,25,10-Jun,230,Glue Guys,0.002,F,0.187,F,0,F,0.074,F,0.236,D-,0.1,F,0,F,0.459,C-,0.073,F,0.154,F,0.18,F,0.077,Low,0,Low,2017-18,Guard
Nate Wolters,Nate Wolters,PG,UTA,19,26,4-Jun,190,Spot-up Wings,0.002,F,0.027,F,0.097,F,0,F,0,F,0.028,F,0,F,0.272,D,0.057,F,0.132,F,0.063,F,0.065,Low,0.5,High,2017-18,Big
James Michael McAdoo,James Michael McAdoo,PF,PHI,18,25,9-Jun,230,Spot-up Wings,0.229,D-,0.031,F,0,F,0,F,0.077,F,0.094,F,0,F,0,F,0.557,C+,0.02,F,0.089,F,0.208,Low,0,Low,2017-18,Guard
Josh Smith,Josh Smith,PF,NOP,12,32,9-Jun,225,Glue Guys,0.002,F,0.023,F,0,F,0.157,F,0,F,0.087,F,0.548,C+,0.081,F,0.057,F,0.44,C-,0.046,F,0.064,Low,0,Low,2017-18,Wing
Matt Williams Jr.,Matt Williams,SG,MIA,11,24,5-Jun,210,,0.205,D-,0.168,F,0,F,0,F,0,F,0.114,F,0,F,0.316,D,0.198,F,0.052,F,0.043,F,0.235,Low,0.2,Low,2017-18,Big
Nicolas Brussino,Nicolas Brussino,SF,ATL,10,24,8-Jun,195,Spot-up Wings,0.175,F,0.019,F,0,F,0,F,0,F,0.078,F,0,F,0.289,D,0.064,F,0.037,F,0.104,F,0.008,Low,0,Low,2017-18,Wing
Derrick Williams,Derrick Williams,PF,LAL,9,26,8-Jun,240,,0.164,F,0.106,F,0.052,F,0.031,F,0,F,0.083,F,0,F,0.144,F,0.057,F,0.017,F,0.072,F,0.168,Low,0,Low,2017-18,Wing
Luis Montero,Luis Montero,SG,DET,8,24,7-Jun,200,Spot-up Wings,0.002,F,0.017,F,0,F,0.008,F,0.079,F,0.081,F,0,F,0.222,D-,0.197,F,0.019,F,0.078,F,0.071,Low,0,Low,2017-18,Wing
Scotty Hopson,Scotty Hopson,SG,DAL,8,28,7-Jun,204,,0.002,F,0.021,F,0.046,F,0.008,F,0,F,0.261,D,0,F,0.35,D+,0.057,F,0.046,F,0.022,F,0.169,Low,0.5,High,2017-18,Wing
Vincent Hunter,Vince Hunter,PF,MEM,7,23,8-Jun,208,,0.002,F,0.11,F,0,F,0.058,F,0,F,0.266,D,0.417,C-,0.123,F,0.2,F,0.215,D-,0.041,F,0.26,Low,0.5,High,2017-18,Guard
Reggie Hearn,Reggie Hearn,SG,DET,7,26,5-Jun,210,,0.235,D-,0.014,F,0.069,F,0,F,0,F,0.075,F,0,F,0.18,F,0.057,F,0.043,F,0.019,F,0.017,Low,0.5,High,2017-18,Wing
Jacob Pullen,Jacob Pullen,PG,PHI,6,28,1-Jun,200,Movement Wings,0.118,F,0.01,F,0.125,F,0,F,0,F,0.139,F,0,F,0.171,F,0.07,F,0.015,F,0.007,F,0.149,Low,0,Low,2017-18,Guard
Josh McRoberts,Josh McRoberts,PF,DAL,6,30,10-Jun,240,Spot-up Wings,0.118,F,0.012,F,0,F,0,F,0,F,0.073,F,0,F,0.191,F,0.057,F,0.013,F,0.02,F,0.009,Low,0,Low,2017-18,Guard
Gordon Hayward,Gordon Hayward,SF,BOS,5,27,8-Jun,226,Glue Guys,0.121,F,0.102,F,0,F,0,F,0,F,0.1,F,0,F,0,F,0.057,F,0.028,F,0.033,F,0.117,Low,0,Low,2017-18,Big
PJ Dozier,PJ Dozier,PG,OKC,3,21,6-Jun,205,,0.002,F,0.006,F,0.168,F,0.041,F,0,F,0.255,D-,0,F,0,F,0.136,F,0.033,F,0.059,F,0.263,Low,0.6667,High,2017-18,Wing
Mindaugas Kuzminskas,Mindaugas Kuzminskas,SF,NYK,2,28,9-Jun,215,Glue Guys,0.002,F,0.004,F,0,F,0.014,F,0,F,0.073,F,0,F,0,F,0.057,F,0.006,F,0.017,F,0.268,Low,0,Low,2017-18,Guard
